Identif;MonthlyPeoples;DailyPeoples;HourlyPeoples_08_22;HourlyPeoples_08_10;HourlyPeoples_17_19;HourlyPeoples_22_08;DistrictName;WKT;HeatmapPoint;Author;lat1;lon1;lat2;lon2
168722;49569;1652;102;156;140;21;Савёловский;LINESTRING (37.569894 55.802994, 37.569733 55.803008);POINT (37.5698 55.803);myData.biz;55.802994;37.569894;55.803008;37.569733
168723;49569;1652;102;156;140;21;Савёловский;LINESTRING (37.569733 55.803008, 37.569648 55.802989);POINT (37.5697 55.803);myData.biz;55.803008;37.569733;55.802989;37.569648
168724;16506;550;34;52;46;7;Савёловский;LINESTRING (37.569648 55.802989, 37.569563 55.80297);POINT (37.5696 55.803);myData.biz;55.802989;37.569648;55.80297;37.569563
168725;16506;550;34;52;46;7;Савёловский;LINESTRING (37.569563 55.80297, 37.569529 55.803002);POINT (37.5695 55.803);myData.biz;55.80297;37.569563;55.803002;37.569529
168726;16506;550;34;52;46;7;Савёловский;LINESTRING (37.569529 55.803002, 37.568092 55.802566);POINT (37.5688 55.8028);myData.biz;55.803002;37.569529;55.802566;37.568092
168727;16506;550;34;52;46;7;Савёловский;LINESTRING (37.568092 55.802566, 37.568131 55.802534);POINT (37.5681 55.8025);myData.biz;55.802566;37.568092;55.802534;37.568131
168728;16506;550;34;52;46;7;Савёловский;LINESTRING (37.568131 55.802534, 37.568071 55.802517);POINT (37.5681 55.8025);myData.biz;55.802534;37.568131;55.802517;37.568071
168729;98593;3286;204;312;279;42;Савёловский;LINESTRING (37.568071 55.802517, 37.568729 55.801923);POINT (37.5684 55.8022);myData.biz;55.802517;37.568071;55.801923;37.568729
168731;31312;1043;64;99;88;13;Савёловский;LINESTRING (37.578181 55.793726, 37.57713 55.793662);POINT (37.5777 55.7937);myData.biz;55.793726;37.578181;55.793662;37.57713
168732;31312;1043;64;99;88;13;Савёловский;LINESTRING (37.57713 55.793662, 37.576982 55.793651);POINT (37.5771 55.7937);myData.biz;55.793662;37.57713;55.793651;37.576982
168733;39409;1313;81;124;111;17;Савёловский;LINESTRING (37.576982 55.793651, 37.576831 55.793635);POINT (37.5769 55.7936);myData.biz;55.793651;37.576982;55.793635;37.576831
168734;36208;1206;74;114;102;15;Савёловский;LINESTRING (37.576831 55.793635, 37.576695 55.793625);POINT (37.5768 55.7936);myData.biz;55.793635;37.576831;55.793625;37.576695
168735;5669;188;11;17;15;2;Савёловский;LINESTRING (37.576695 55.793625, 37.576454 55.794774);POINT (37.5766 55.7942);myData.biz;55.793625;37.576695;55.794774;37.576454
168736;46;1;0;0;0;0;Савёловский;LINESTRING (37.576454 55.794774, 37.576261 55.794759);POINT (37.5764 55.7948);myData.biz;55.794774;37.576454;55.794759;37.576261
168737;46;1;0;0;0;0;Савёловский;LINESTRING (37.576261 55.794759, 37.576142 55.794821);POINT (37.5762 55.7948);myData.biz;55.794759;37.576261;55.794821;37.576142
168739;19486;649;40;61;55;8;Савёловский;LINESTRING (37.57934 55.7938, 37.579099 55.795046);POINT (37.5792 55.7944);myData.biz;55.7938;37.57934;55.795046;37.579099
168740;96074;3202;198;304;272;41;Савёловский;LINESTRING (37.579099 55.795046, 37.579025 55.795009);POINT (37.5791 55.795);myData.biz;55.795046;37.579099;55.795009;37.579025
168741;41938;1397;86;132;118;18;Савёловский;LINESTRING (37.579025 55.795009, 37.577807 55.794936);POINT (37.5784 55.795);myData.biz;55.795009;37.579025;55.794936;37.577807
168742;2160;72;4;6;6;0;Савёловский;LINESTRING (37.577807 55.794936, 37.577845 55.794742);POINT (37.5778 55.7948);myData.biz;55.794936;37.577807;55.794742;37.577845
168743;2160;72;4;6;6;0;Савёловский;LINESTRING (37.577845 55.794742, 37.577814 55.79474);POINT (37.5778 55.7947);myData.biz;55.794742;37.577845;55.79474;37.577814
168744;2160;72;4;6;6;0;Савёловский;LINESTRING (37.577814 55.79474, 37.577689 55.794732);POINT (37.5778 55.7947);myData.biz;55.79474;37.577814;55.794732;37.577689
168756;44971;1499;93;142;127;19;Савёловский;LINESTRING (37.58306 55.797226, 37.583062 55.797182);POINT (37.5831 55.7972);myData.biz;55.797226;37.58306;55.797182;37.583062
168757;28283;942;58;89;80;12;Савёловский;LINESTRING (37.583062 55.797182, 37.583218 55.797097);POINT (37.5831 55.7971);myData.biz;55.797182;37.583062;55.797097;37.583218
168758;28283;942;58;89;80;12;Савёловский;LINESTRING (37.583218 55.797097, 37.583516 55.79694);POINT (37.5834 55.797);myData.biz;55.797097;37.583218;55.79694;37.583516
168759;30660;1022;63;97;86;13;Савёловский;LINESTRING (37.583516 55.79694, 37.583537 55.79673);POINT (37.5835 55.7968);myData.biz;55.79694;37.583516;55.79673;37.583537
168760;30660;1022;63;97;86;13;Савёловский;LINESTRING (37.583537 55.79673, 37.58364 55.796449);POINT (37.5836 55.7966);myData.biz;55.79673;37.583537;55.796449;37.58364
168763;86278;2875;178;273;244;37;Савёловский;LINESTRING (37.583614 55.796302, 37.583655 55.796346);POINT (37.5836 55.7963);myData.biz;55.796302;37.583614;55.796346;37.583655
168765;83292;2776;172;263;235;36;Савёловский;LINESTRING (37.58292 55.79836, 37.58295 55.798136);POINT (37.5829 55.7982);myData.biz;55.79836;37.58292;55.798136;37.58295
168768;425;14;0;1;1;0;Савёловский;LINESTRING (37.563287 55.796362, 37.563018 55.796266);POINT (37.5632 55.7963);myData.biz;55.796362;37.563287;55.796266;37.563018
172433;44472;1482;92;140;125;19;Савёловский;LINESTRING (37.564601 55.804903, 37.564448 55.804875);POINT (37.5645 55.8049);myData.biz;55.804903;37.564601;55.804875;37.564448
172434;51348;1711;106;162;145;22;Савёловский;LINESTRING (37.572027 55.80602, 37.571814 55.806194);POINT (37.5719 55.8061);myData.biz;55.80602;37.572027;55.806194;37.571814
172435;51327;1710;106;162;145;22;Савёловский;LINESTRING (37.571814 55.806194, 37.571533 55.806098);POINT (37.5717 55.8061);myData.biz;55.806194;37.571814;55.806098;37.571533
172436;51327;1710;106;162;145;22;Савёловский;LINESTRING (37.571533 55.806098, 37.571467 55.80599);POINT (37.5715 55.806);myData.biz;55.806098;37.571533;55.80599;37.571467
172437;51327;1710;106;162;145;22;Савёловский;LINESTRING (37.571467 55.80599, 37.571195 55.80593);POINT (37.5713 55.806);myData.biz;55.80599;37.571467;55.80593;37.571195
172438;75220;2507;155;238;213;32;Савёловский;LINESTRING (37.571195 55.80593, 37.571276 55.805651);POINT (37.5712 55.8058);myData.biz;55.80593;37.571195;55.805651;37.571276
172441;53718;1790;111;170;152;23;Савёловский;LINESTRING (37.565573 55.804307, 37.565481 55.804414);POINT (37.5655 55.8044);myData.biz;55.804307;37.565573;55.804414;37.565481
172442;53718;1790;111;170;152;23;Савёловский;LINESTRING (37.565481 55.804414, 37.565094 55.804572);POINT (37.5653 55.8045);myData.biz;55.804414;37.565481;55.804572;37.565094
172537;53949;1798;111;170;152;23;Савёловский;LINESTRING (37.576366 55.807075, 37.57669 55.807133);POINT (37.5765 55.8071);myData.biz;55.807075;37.576366;55.807133;37.57669
172538;29319;977;60;92;83;12;Савёловский;LINESTRING (37.57669 55.807133, 37.577884 55.807345);POINT (37.5773 55.8072);myData.biz;55.807133;37.57669;55.807345;37.577884
172539;3879;129;8;12;10;1;Савёловский;LINESTRING (37.577466 55.806654, 37.577655 55.806325);POINT (37.5776 55.8065);myData.biz;55.806654;37.577466;55.806325;37.577655
172540;3879;129;8;12;10;1;Савёловский;LINESTRING (37.577655 55.806325, 37.577684 55.806311);POINT (37.5777 55.8063);myData.biz;55.806325;37.577655;55.806311;37.577684
172541;3879;129;8;12;10;1;Савёловский;LINESTRING (37.577684 55.806311, 37.577704 55.806301);POINT (37.5777 55.8063);myData.biz;55.806311;37.577684;55.806301;37.577704
172542;3879;129;8;12;10;1;Савёловский;LINESTRING (37.577704 55.806301, 37.578189 55.806389);POINT (37.5779 55.8063);myData.biz;55.806301;37.577704;55.806389;37.578189
172682;24630;821;51;77;69;10;Савёловский;LINESTRING (37.57669 55.807133, 37.576534 55.807435);POINT (37.5766 55.8073);myData.biz;55.807133;37.57669;55.807435;37.576534
172683;24630;821;51;77;69;10;Савёловский;LINESTRING (37.576534 55.807435, 37.576476 55.807546);POINT (37.5765 55.8075);myData.biz;55.807435;37.576534;55.807546;37.576476
172684;24630;821;51;77;69;10;Савёловский;LINESTRING (37.576476 55.807546, 37.576508 55.807551);POINT (37.5765 55.8075);myData.biz;55.807546;37.576476;55.807551;37.576508
172685;24630;821;51;77;69;10;Савёловский;LINESTRING (37.576508 55.807551, 37.576522 55.807524);POINT (37.5765 55.8075);myData.biz;55.807551;37.576508;55.807524;37.576522
172686;24630;821;51;77;69;10;Савёловский;LINESTRING (37.576522 55.807524, 37.576707999999996 55.807554);POINT (37.5766 55.8075);myData.biz;55.807524;37.576522;55.807554;37.576708
172687;24630;821;51;77;69;10;Савёловский;LINESTRING (37.576707999999996 55.807554, 37.57668 55.807609);POINT (37.5767 55.8076);myData.biz;55.807554;37.576708;55.807609;37.57668
172689;24630;821;51;77;69;10;Савёловский;LINESTRING (37.57668 55.807609, 37.579228 55.808024);POINT (37.578 55.8078);myData.biz;55.807609;37.57668;55.808024;37.579228
172726;8514;283;17;26;24;3;Савёловский;LINESTRING (37.556161 55.804391, 37.556317 55.804322);POINT (37.5562 55.8044);myData.biz;55.804391;37.556161;55.804322;37.556317
173197;55758;1858;115;176;157;24;Савёловский;LINESTRING (37.582254 55.804574, 37.58174 55.804512);POINT (37.582 55.8045);myData.biz;55.804574;37.582254;55.804512;37.58174
173198;55758;1858;115;176;157;24;Савёловский;LINESTRING (37.58174 55.804512, 37.581862 55.80418);POINT (37.5818 55.8043);myData.biz;55.804512;37.58174;55.80418;37.581862
173199;74667;2488;154;236;211;32;Савёловский;LINESTRING (37.5798 55.808022, 37.579785 55.808051);POINT (37.5798 55.808);myData.biz;55.808022;37.5798;55.808051;37.579785
173200;74665;2488;154;236;211;32;Савёловский;LINESTRING (37.579785 55.808051, 37.579656 55.80803);POINT (37.5797 55.808);myData.biz;55.808051;37.579785;55.80803;37.579656
173201;74665;2488;154;236;211;32;Савёловский;LINESTRING (37.579656 55.80803, 37.579563 55.808015);POINT (37.5796 55.808);myData.biz;55.80803;37.579656;55.808015;37.579563
173202;74665;2488;154;236;211;32;Савёловский;LINESTRING (37.579563 55.808015, 37.579542 55.808057);POINT (37.5796 55.808);myData.biz;55.808015;37.579563;55.808057;37.579542
173203;74665;2488;154;236;211;32;Савёловский;LINESTRING (37.579542 55.808057, 37.579483 55.808047);POINT (37.5795 55.8081);myData.biz;55.808057;37.579542;55.808047;37.579483
173204;74665;2488;154;236;211;32;Савёловский;LINESTRING (37.579483 55.808047, 37.579474 55.808064);POINT (37.5795 55.8081);myData.biz;55.808047;37.579483;55.808064;37.579474
173205;74665;2488;154;236;211;32;Савёловский;LINESTRING (37.579474 55.808064, 37.578522 55.807909);POINT (37.579 55.808);myData.biz;55.808064;37.579474;55.807909;37.578522
173588;11600;386;23;36;32;5;Савёловский;LINESTRING (37.572922 55.799097, 37.57303 55.7986);POINT (37.573 55.7988);myData.biz;55.799097;37.572922;55.7986;37.57303
173589;2921;97;6;9;8;1;Савёловский;LINESTRING (37.571635 55.800857, 37.571661 55.80086);POINT (37.5716 55.8009);myData.biz;55.800857;37.571635;55.80086;37.571661
173592;944;31;1;2;2;0;Савёловский;LINESTRING (37.561227 55.802978, 37.560369 55.80273);POINT (37.5608 55.8029);myData.biz;55.802978;37.561227;55.80273;37.560369
173594;28532;951;59;90;80;12;Савёловский;LINESTRING (37.576965 55.79727, 37.576992 55.797272);POINT (37.577 55.7973);myData.biz;55.79727;37.576965;55.797272;37.576992
173595;413;13;0;1;1;0;Савёловский;LINESTRING (37.578115 55.797873, 37.578138 55.797714);POINT (37.5781 55.7978);myData.biz;55.797873;37.578115;55.797714;37.578138
173596;413;13;0;1;1;0;Савёловский;LINESTRING (37.578138 55.797714, 37.577825 55.797693);POINT (37.578 55.7977);myData.biz;55.797714;37.578138;55.797693;37.577825
173619;4249;141;8;13;11;1;Савёловский;LINESTRING (37.573566 55.794307, 37.572253 55.794216);POINT (37.5729 55.7943);myData.biz;55.794307;37.573566;55.794216;37.572253
173621;79;2;0;0;0;0;Савёловский;LINESTRING (37.573245 55.803701, 37.573117 55.803677);POINT (37.5732 55.8037);myData.biz;55.803701;37.573245;55.803677;37.573117
173622;43;1;0;0;0;0;Савёловский;LINESTRING (37.567428 55.804717, 37.567526 55.804741);POINT (37.5675 55.8047);myData.biz;55.804717;37.567428;55.804741;37.567526
173623;38896;1296;80;123;110;16;Савёловский;LINESTRING (37.564627 55.803063, 37.564887 55.802695);POINT (37.5648 55.8029);myData.biz;55.803063;37.564627;55.802695;37.564887
