Identif;MonthlyPeoples;DailyPeoples;HourlyPeoples_08_22;HourlyPeoples_08_10;HourlyPeoples_17_19;HourlyPeoples_22_08;DistrictName;WKT;HeatmapPoint;Author;lat1;lon1;lat2;lon2
263019;603;20;1;1;1;0;Южное Медведково;LINESTRING (37.63299 55.865074, 37.633425 55.864772);POINT (37.6332 55.8649);myData.biz;55.865074;37.63299;55.864772;37.633425
263020;603;20;1;1;1;0;Южное Медведково;LINESTRING (37.633425 55.864772, 37.634094 55.864391);POINT (37.6338 55.8646);myData.biz;55.864772;37.633425;55.864391;37.634094
263021;603;20;1;1;1;0;Южное Медведково;LINESTRING (37.634094 55.864391, 37.634519 55.863997);POINT (37.6343 55.8642);myData.biz;55.864391;37.634094;55.863997;37.634519
263022;51;1;0;0;0;0;Южное Медведково;LINESTRING (37.634519 55.863997, 37.634941 55.863999);POINT (37.6347 55.864);myData.biz;55.863997;37.634519;55.863999;37.634941
263023;51;1;0;0;0;0;Южное Медведково;LINESTRING (37.634941 55.863999, 37.635588 55.864044);POINT (37.6353 55.864);myData.biz;55.863999;37.634941;55.864044;37.635588
263024;862;28;1;2;2;0;Южное Медведково;LINESTRING (37.635588 55.864044, 37.63617 55.864519);POINT (37.6359 55.8643);myData.biz;55.864044;37.635588;55.864519;37.63617
263068;727;24;1;2;2;0;Южное Медведково;LINESTRING (37.63357 55.863062, 37.6345 55.86319);POINT (37.634 55.8631);myData.biz;55.863062;37.63357;55.86319;37.6345
263069;727;24;1;2;2;0;Южное Медведково;LINESTRING (37.6345 55.86319, 37.634752 55.863218);POINT (37.6346 55.8632);myData.biz;55.86319;37.6345;55.863218;37.634752
263070;727;24;1;2;2;0;Южное Медведково;LINESTRING (37.634752 55.863218, 37.634866 55.86327);POINT (37.6348 55.8632);myData.biz;55.863218;37.634752;55.86327;37.634866
263071;811;27;1;2;2;0;Южное Медведково;LINESTRING (37.634866 55.86327, 37.635306 55.863719);POINT (37.6351 55.8635);myData.biz;55.86327;37.634866;55.863719;37.635306
263072;811;27;1;2;2;0;Южное Медведково;LINESTRING (37.635306 55.863719, 37.635588 55.864044);POINT (37.6354 55.8639);myData.biz;55.863719;37.635306;55.864044;37.635588
266505;700;23;1;2;1;0;Южное Медведково;LINESTRING (37.642241 55.870609, 37.641838 55.870571);POINT (37.642 55.8706);myData.biz;55.870609;37.642241;55.870571;37.641838
266506;30563;1018;63;96;86;13;Южное Медведково;LINESTRING (37.641838 55.870571, 37.642104 55.869736);POINT (37.642 55.8702);myData.biz;55.870571;37.641838;55.869736;37.642104
266507;52564;1752;108;166;148;22;Южное Медведково;LINESTRING (37.642104 55.869736, 37.641551 55.869681);POINT (37.6418 55.8697);myData.biz;55.869736;37.642104;55.869681;37.641551
266508;31691;1056;65;100;89;13;Южное Медведково;LINESTRING (37.641551 55.869681, 37.640715 55.869588);POINT (37.6411 55.8696);myData.biz;55.869681;37.641551;55.869588;37.640715
266509;90232;3007;186;285;255;39;Южное Медведково;LINESTRING (37.640715 55.869588, 37.640148 55.869472);POINT (37.6404 55.8695);myData.biz;55.869588;37.640715;55.869472;37.640148
266510;90232;3007;186;285;255;39;Южное Медведково;LINESTRING (37.640148 55.869472, 37.640016 55.869451);POINT (37.6401 55.8695);myData.biz;55.869472;37.640148;55.869451;37.640016
266511;101142;3371;209;320;286;43;Южное Медведково;LINESTRING (37.640016 55.869451, 37.640293 55.868643);POINT (37.6402 55.869);myData.biz;55.869451;37.640016;55.868643;37.640293
266512;72427;2414;150;229;205;31;Южное Медведково;LINESTRING (37.640293 55.868643, 37.640615 55.868676);POINT (37.6405 55.8687);myData.biz;55.868643;37.640293;55.868676;37.640615
266513;72570;2419;150;229;205;31;Южное Медведково;LINESTRING (37.640615 55.868676, 37.640655 55.868526);POINT (37.6406 55.8686);myData.biz;55.868676;37.640615;55.868526;37.640655
266514;72570;2419;150;229;205;31;Южное Медведково;LINESTRING (37.640655 55.868526, 37.640799 55.86842);POINT (37.6407 55.8685);myData.biz;55.868526;37.640655;55.86842;37.640799
266515;38214;1273;79;120;108;16;Южное Медведково;LINESTRING (37.640799 55.86842, 37.640827 55.867902);POINT (37.6408 55.8682);myData.biz;55.86842;37.640799;55.867902;37.640827
266516;12979;432;26;41;36;5;Южное Медведково;LINESTRING (37.640827 55.867902, 37.640666 55.867893);POINT (37.6407 55.8679);myData.biz;55.867902;37.640827;55.867893;37.640666
266517;6666;222;13;21;18;2;Южное Медведково;LINESTRING (37.640666 55.867893, 37.640764 55.86752);POINT (37.6407 55.8677);myData.biz;55.867893;37.640666;55.86752;37.640764
266518;6666;222;13;21;18;2;Южное Медведково;LINESTRING (37.640764 55.86752, 37.640866 55.867385);POINT (37.6408 55.8675);myData.biz;55.86752;37.640764;55.867385;37.640866
